year,sector,total_workforce,total_beds,workforce_to_bed_ratio
2009,Private,10476,1570,6.672611464968153
2011,Private,12136,1096,11.072992700729927
2014,Private,13966,1327,10.52449133383572
2017,Public,35433,8623,4.10912675402992
2012,Private,12976,1272,10.20125786163522
2015,Public,33158,8128,4.079478346456693
2013,Public,29450,7377,3.9921377253626136
2019,Public,36725,9404,3.90525308379413
2011,Public,25713,6925,3.7130685920577617
2013,Private,13608,1279,10.639562157935888
2017,Private,15795,1446,10.923236514522822
2015,Private,14919,1400,10.656428571428572
2014,Public,31253,7652,4.084291688447465
2016,Private,15212,1441,10.556557945870923
2016,Public,34554,8561,4.0362107230463735
2012,Public,28065,7170,3.914225941422594
2018,Private,16303,1482,11.00067476383266
2010,Public,23505,6871,3.420899432397031
2010,Private,11206,1095,10.2337899543379
2019,Private,17063,1629,10.474524248004911
2009,Public,20915,6416,3.2598192019950125
2018,Public,35990,9071,3.9675890199536985
